Date;hour;air_temp;W
23-janv-21;4;3;WE
23-janv-21;5;3;WE
23-janv-21;6;3;WE
23-janv-21;7;3;WE
23-janv-21;8;3;WE
23-janv-21;9;3;WE
23-janv-21;10;4;WE
23-janv-21;11;4;WE
23-janv-21;12;4;WE
23-janv-21;13;4;WE
23-janv-21;14;4;WE
23-janv-21;15;4;WE
23-janv-21;16;4;WE
23-janv-21;17;3;WE
23-janv-21;18;4;WE
23-janv-21;19;3;WE
23-janv-21;20;3;WE
23-janv-21;21;3;WE
23-janv-21;22;2;WE
23-janv-21;23;2;WE
24-janv-21;0;2;W
24-janv-21;1;2;W
24-janv-21;2;1;W
24-janv-21;3;1;W
24-janv-21;4;1;W
24-janv-21;5;0;W
24-janv-21;6;0;W
24-janv-21;7;0;W
24-janv-21;8;1;W
24-janv-21;9;2;W
24-janv-21;10;4;W
24-janv-21;11;5;W
24-janv-21;12;5;W
24-janv-21;13;6;W
24-janv-21;14;6;W
24-janv-21;15;5;W
24-janv-21;16;4;W
24-janv-21;17;2;W
24-janv-21;18;1;W
24-janv-21;19;0;W
24-janv-21;20;0;W
24-janv-21;21;-1;W
24-janv-21;22;-2;W
24-janv-21;23;-2;W
25-janv-21;0;-2;W
25-janv-21;1;-2;W
25-janv-21;2;-2;W
25-janv-21;3;-2;W
25-janv-21;4;-2;W
25-janv-21;5;-2;W
25-janv-21;6;-2;W
25-janv-21;7;-1;W
25-janv-21;8;-1;W
25-janv-21;9;0;W
25-janv-21;10;1;W
25-janv-21;11;2;W
25-janv-21;12;3;W
25-janv-21;13;3;W
25-janv-21;14;3;W
25-janv-21;15;2;W
25-janv-21;16;1;W
25-janv-21;17;1;W
25-janv-21;18;1;W
25-janv-21;19;1;W
25-janv-21;20;1;W
25-janv-21;21;1;W
25-janv-21;22;1;W
25-janv-21;23;1;W
26-janv-21;0;0;W
26-janv-21;1;0;W
26-janv-21;2;0;W
26-janv-21;3;0;W
26-janv-21;4;0;W
26-janv-21;5;0;W
26-janv-21;6;0;W
26-janv-21;7;0;W
26-janv-21;8;0;W
26-janv-21;9;0;W
26-janv-21;10;0;W
26-janv-21;11;0;W
26-janv-21;12;1;W
26-janv-21;13;1;W
26-janv-21;14;1;W
26-janv-21;15;1;W
26-janv-21;16;1;W
26-janv-21;17;1;W
26-janv-21;18;1;W
26-janv-21;19;1;W
26-janv-21;20;1;W
26-janv-21;21;1;W
26-janv-21;22;1;W
26-janv-21;23;1;W
27-janv-21;0;1;W
27-janv-21;1;1;W
27-janv-21;2;2;W
27-janv-21;3;2;W
27-janv-21;4;2;W
27-janv-21;5;3;W
27-janv-21;6;3;W
27-janv-21;7;3;W
27-janv-21;8;3;W
27-janv-21;9;3;W
27-janv-21;10;4;W
27-janv-21;11;4;W
27-janv-21;12;4;W
27-janv-21;13;5;W
27-janv-21;14;5;W
27-janv-21;15;6;W
27-janv-21;16;6;W
27-janv-21;17;6;W
27-janv-21;18;6;W
27-janv-21;19;6;W
27-janv-21;20;6;W
27-janv-21;21;5;W
27-janv-21;22;4;W
27-janv-21;23;4;W
28-janv-21;0;4;W
28-janv-21;1;3;W
28-janv-21;2;3;W
28-janv-21;3;2;W
28-janv-21;4;2;W
28-janv-21;5;2;W
28-janv-21;6;1;W
28-janv-21;7;1;W
28-janv-21;8;2;W
28-janv-21;9;3;W
28-janv-21;10;4;W
28-janv-21;11;4;W
28-janv-21;12;5;W
28-janv-21;13;5;W
28-janv-21;14;5;W
28-janv-21;15;5;W
28-janv-21;16;4;W
28-janv-21;17;4;W
28-janv-21;18;4;W
28-janv-21;19;4;W
28-janv-21;20;4;W
28-janv-21;21;4;W
28-janv-21;22;4;W
28-janv-21;23;4;W
29-janv-21;0;4;WE
29-janv-21;1;4;WE
29-janv-21;2;4;WE
29-janv-21;3;4;WE
29-janv-21;4;4;WE
29-janv-21;5;5;WE
29-janv-21;6;5;WE
29-janv-21;7;5;WE
29-janv-21;8;6;WE
29-janv-21;9;6;WE
29-janv-21;10;7;WE
29-janv-21;11;8;WE
29-janv-21;12;8;WE
29-janv-21;13;9;WE
29-janv-21;14;9;WE
29-janv-21;15;9;WE
29-janv-21;16;9;WE
29-janv-21;17;9;WE
29-janv-21;18;9;WE
29-janv-21;19;9;WE
29-janv-21;20;9;WE
29-janv-21;21;8;WE
29-janv-21;22;7;WE
29-janv-21;23;6;WE
30-janv-21;0;6;WE
30-janv-21;1;5;WE
30-janv-21;2;4;WE
30-janv-21;3;4;WE
30-janv-21;4;3;WE
30-janv-21;5;3;WE
30-janv-21;6;2;WE
30-janv-21;7;2;WE
30-janv-21;8;3;WE
30-janv-21;9;4;WE
30-janv-21;10;4;WE
30-janv-21;11;5;WE
30-janv-21;12;6;WE
30-janv-21;13;6;WE
30-janv-21;14;6;WE
30-janv-21;15;5;WE
30-janv-21;16;4;WE
30-janv-21;17;3;WE
30-janv-21;18;3;WE
30-janv-21;19;3;WE
30-janv-21;20;3;WE
30-janv-21;21;3;WE
30-janv-21;22;3;WE
30-janv-21;23;3;WE
31-janv-21;0;4;W
31-janv-21;1;4;W
31-janv-21;2;4;W
31-janv-21;3;4;W
